Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC,Sector,Why Target,ACER Pitch Angle
Jagrut Motors Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,10-03-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Jaideep Metallics & Alloys Pvt. Ltd.,Bank Guarantee,CARE,A 4,10-03-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Ganga Papers India Ltd.,Non-government debt,ICRA,B+/A4,10-03-2026,LOW,Y,Manufacturing,INC with ICRA — not cooperating; switch needed,"INC blocks bank financing; ACER vs ICRA: faster, more responsive, India-focused"
Indexone Industries Ltd.,Letter Of credit,CRISIL,A 4,10-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Kisco Castings (India) Ltd.,Term loans,CRISIL,B,20-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Eakansh Motors Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,20-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Reliable Automotive Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,20-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Dembla Valves Ltd.,Bank Guarantee,CARE,A 4+,19-03-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Miku Polymers & Plastics Ltd.,Fund based financial facility/instrument,BRICKWORK,D,09-03-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Cottage Industries Exposition Ltd.,Term loans,CARE,B+,09-03-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Pavan Motors Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,09-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Electronics Corpn. Of Tamil Nadu Ltd.,Term loans,IND-RA,A,09-03-2026,LOW,Y,Manufacturing,INC with IND-RA — not cooperating; switch needed,"INC blocks bank financing; ACER vs IND-RA: faster, more responsive, India-focused"
